X	Y	Z
4298552.98	5506984.33	144.915
4298553	5506950	142.15
4298553.02	5506826.37	144.28
4298553.17	5506926.21	143.767
4298553.25	5507163	143.391
4298553.44	5506955.32	142.143
4298553.59	5507029.1	143.602
4298553.62	5507014.07	144.835
4298553.69	5506976.23	143.653
4298553.74	5506906.36	143.38
4298553.75	5506990.28	144.909
4298553.798	5507182.098	143.21
4298553.91	5506963.64	143.6
4298554.05	5506917.81	142.616
4298554.28	5507023.22	143.592
4298554.35	5506982.12	143.643
4298554.51	5506996.23	144.904
4298554.53	5506873.8	143.69
4298554.63	5507008.16	144.861
4298554.87	5507017.32	143.574
4298554.999	5507200.711	143.99
4298555	5506949	142.13
4298555	5506988.01	143.63
4298555	5506932	143.77
4298555	5507002.19	144.889
4298555.13	5507036.9	143.62
4298555.33	5506960.99	142.1
4298555.35	5506969.38	143.587
4298555.46	5507011.43	143.57
4298555.97	5506911.92	143.38
4298555.98	5506993.85	143.61
4298556	5506945	143.63
4298556.01	5507028.03	143.63
4298556.05	5507098.63	142.43
4298556.09	5507005.54	143.572
4298556.1	5506923.61	142.582
4298556.27	5506975.2	143.585
4298556.35	5507222.928	146.04
4298556.52	5507158.17	143.15
4298556.71	5506793.01	144.54
4298556.73	5507051.13	142.54
4298556.76	5506981.1	143.595
4298556.82	5506999.72	143.594
4298556.97	5507022.2	143.62
4298557	5506888	144.07
4298557.17	5506966.67	142.048
4298557.17	5506954.4	142.2
4298557.47	5507033.71	143.662
4298557.54	5506986.95	143.603
4298557.63	5507016.32	143.607
4298557.63	5507042.22	143.63
4298557.73	5506917.63	143.358
4298557.75	5507112.59	142.68
4298557.99	5507044.6	142.692
4298558.11	5506929.43	142.54
4298558.21	5506840.44	144.1
4298558.28	5507010.44	143.609
4298558.6	5506992.77	143.608
4298558.61	5506972.46	142.028
4298558.71	5506960.17	142.2
4298558.94	5507004.56	143.628
4298559	5506998.65	143.618
4298559.49	5506923.36	143.336
4298559.6	5506935.4	142.409
4298559.92	5506806.67	144.42
4298560.05	5506978.25	142.008
4298560.22	5506965.95	142.197
4298560.45	5507065.21	142.5
4298560.68	5506894.09	143.51
4298561.09	5506941.38	142.277
4298561.22	5506984.11	141.967
4298561.43	5506929.02	143.31
4298561.59	5506971.76	142.176
4298561.63	5507037.75	143.626
4298561.68	5507127.08	142.7
4298562	5507025.59	141.755
4298562	5507031.57	141.78
4298562	5506953	143.72
4298562.2	5506989.99	141.91
4298562.48	5507019.66	141.755
4298562.59	5506947.35	142.145
4298562.79	5506995.93	141.821
4298562.81	5506886.41	144.091
4298562.96	5506977.57	142.156
4298563.25	5507013.74	141.747
4298563.41	5506854.52	143.88
4298563.42	5507043.48	143.65
4298563.43	5507001.87	141.756
4298563.45	5506934.65	143.282
4298563.7	5506958.96	143.652
4298563.91	5507007.8	141.714
4298563.92	5507045.44	142.643
4298564.08	5506953.32	142.015
4298564.16	5506983.41	142.115
4298564.38	5507079.69	142.47
4298564.61	5506908.58	143.65
4298564.82	5506989.35	142.009
4298565.206	5507220.526	144.33
4298565.22	5507163.07	143.003
4298565.41	5506964.92	143.584
4298565.43	5506940.3	143.276
4298565.49	5506959.32	141.931
4298565.59	5506773.73	144.7
4298565.61	5507141.56	142.91
4298565.93	5506995.21	141.929
4298566.22	5507025.8	141.67
4298566.27	5507153.91	142.82
4298566.54	5507033	141.686
4298566.85	5506970.95	143.532
4298566.9	5506965.31	141.846
4298567.09	5506821.17	144.08
4298567.14	5507001.05	141.858
4298567.158	5507225.93	149.19
4298567.33	5506945.98	143.347
4298567.47	5507038	143.593
4298567.93	5507006.97	141.791
4298568.15	5506977.01	143.488
4298568.31	5507094.18	142.29
4298568.38	5506971.29	141.778
4298568.54	5506923.06	143.69
4298568.71	5506868.59	144.04
4298568.72	5507012.89	141.724
